rate,avr_air_pressure,avr_wind_spd,avr_temp,avr_water_pressure,rel_humidity,day_precipitation,month_sun,hour_sun,extreme_wind_speed,min_air_pressure,min_temp,max_air_pressure,max_temp,max_wind_speed,day_max_precipitation,power,industrial_add,sales_rate,fin_budget,cpi,pas_turn,im_ex,Residential_investment,ex_factory_index
5.986767055,1013.7,2.871428571,-4.057142857,2.814285714,59.42857143,2.142857143,58,172.2857143,15.57142857,1000.842857,-16.65714286,1023.371429,10.47142857,10.04285714,3.351785714,94.89,14.5,98.7,38.1,104.545,161241.5,6538480,25.5,107.13
6.62103582,1011.142857,3.185714286,1.842857143,3.142857143,45.14285714,1.571428571,75.85714286,282.8285714,16.9,998.6428571,-10.82857143,1018.942857,18.92857143,10.05714286,5.766666667,123.7,13.5,97.7,40.1,104.925,180161,9957292,28.5,107.35
6.214921287,1003.428571,3.571428571,9.6,5.7,49.71428571,6.428571429,60.42857143,242.2142857,17.97142857,987.2714286,-2.742857143,1019.471429,22.95714286,10.88571429,11.44285714,106.9,14.8,98.8,36.1,105.07,158851.5,9152210,35.7,107.48
6.153319644,998.5857143,3.342857143,17.17142857,9.885714286,53.14285714,6.714285714,62.57142857,281.0285714,18.45714286,987.8428571,5.485714286,1005.928571,29.35714286,11.48571429,24.18571429,111.6,15.7,98.5,37.9,106.05,177933.5,9062397,38.1,107.43
5.742642026,995.1857143,2.814285714,20.77142857,18.01428571,75.71428571,12.14285714,45.14285714,203.7714286,16.12857143,985.5285714,12.12857143,1003.271429,31.34285714,9.357142857,50.62857143,115.1,16.8,97.2,37,107.235,197058,9551101,38.6,107.61
5.571526352,994.3142857,2.357142857,24.11428571,24.17142857,81.57142857,13,37,169.4428571,16.08571429,985.6,17.01428571,1001.085714,33.21428571,9.257142857,45.92857143,118.5,13.6,98,35.8,107.2,173146.5,10082400,39.5,107.75
5.897786904,998.0857143,2.057142857,23.92857143,24.41428571,83.28571429,12,45.28571429,192.1857143,14.61428571,984.7571429,16.35714286,1007.471429,32.07142857,8.271428571,74.54285714,128.8,14,98.3,34.7,106.1,174576,9956308,39,107.39
5.409536847,1005.057143,2.7,17.42857143,12.97142857,65.57142857,3.857142857,67.28571429,248.3285714,15.27142857,994.5,4.814285714,1015,28.35714286,8.985714286,24.84285714,109,14,98.6,33.4,106.14,175835,9664001,38.4,106.85
5.507643167,1010.171429,2.628571429,11.8,9.114285714,65.57142857,6.285714286,61,207.1571429,14.78571429,992.3714286,-0.342857143,1019.314286,22.75714286,9.028571429,10.31428571,107.7,13.8,97.9,33.1,105.135,182092.5,9742011,39.3,105.64
4.996577687,1014.8,2.828571429,2.928571429,5.242857143,63.57142857,7.428571429,56.14285714,165.3142857,15.48571429,1000.757143,-11.64285714,1027.442857,18.48571429,9.185714286,22.68571429,114.4,12.7,97.7,31.8,103.45,147111.5,11002663,38.2,103.98
4.346338125,1019.6,2.457142857,-7.271428571,2.028571429,54.42857143,1.625,70.42857143,201.8428571,13.55714286,1009.4,-18.7,1029.742857,5.528571429,8.242857143,2.054761905,117.6,16.1,99.6,31.7,103.37,172720.0833,8592910,37.6,103.24
14.71405787,1018.642857,2.3,-10.75714286,1.528571429,53.57142857,2,62.57142857,186.1285714,12.64285714,1008.585714,-21.44285714,1029.642857,1.914285714,8,1.963690476,110.87,13.75,97.26666667,15.5,104.04,170267,9980368,18.67762238,102.54
